
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[54/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/10  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[55/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/12  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [7s]
[56/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/12  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[57/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/20  p=1.0000 no  | INDEP  0/7  p=1.0000 no  [10s]
[58/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  1/20  p=0.6415 no  | INDEP  0/7  p=1.0000 no  [3s]
[59/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [7s]
[60/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[61/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/8   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [7s]
[62/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  1/8   p=0.3366 no  | INDEP  1/3  p=0.1426 no  [1s]
[63/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/8   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [5s]
[64/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- skipped too small [0s]
[65/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/16  p=1.0000 no  | INDEP  0/6  p=1.0000 no  [5s]
[66/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  1/16  p=0.5599 no  | INDEP  1/6  p=0.2649 no  [1s]
[67/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/8   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [5s]
[68/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  2/8   p=0.0572 no  | INDEP  1/3  p=0.1426 no  [1s]
[69/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/7   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [4s]
